Quarter,QuarterDate,CashRatePct
Mar 2020,2020-03-01,0.25
Jun 2020,2020-06-01,0.25
Sep 2020,2020-09-01,0.25
Dec 2020,2020-12-01,0.1
Mar 2021,2021-03-01,0.1
Jun 2021,2021-06-01,0.1
Sep 2021,2021-09-01,0.1
Dec 2021,2021-12-01,0.1
Mar 2022,2022-03-01,0.1
Jun 2022,2022-06-01,0.85
Sep 2022,2022-09-01,2.35
Dec 2022,2022-12-01,3.1
Mar 2023,2023-03-01,3.6
Jun 2023,2023-06-01,4.1
Sep 2023,2023-09-01,4.1
Dec 2023,2023-12-01,4.35
Mar 2024,2024-03-01,4.35
Jun 2024,2024-06-01,4.35
Sep 2024,2024-09-01,4.35
Dec 2024,2024-12-01,4.35
Mar 2025,2025-03-01,4.1
Jun 2025,2025-06-01,3.85
