Event,Suburb,PreRent,PostRent,Diff
COVID-19 Emergency Rate Cut,Altona,400.0,400.0,0.0
COVID-19 Emergency Rate Cut,Armadale,500.0,452.5,-47.5
COVID-19 Emergency Rate Cut,Bairnsdale,303.33,325.0,21.67
COVID-19 Emergency Rate Cut,Balwyn,553.33,532.5,-20.83
COVID-19 Emergency Rate Cut,Bayswater,390.0,395.0,5.0
COVID-19 Emergency Rate Cut,Benalla,300.0,327.5,27.5
COVID-19 Emergency Rate Cut,Bendigo,330.0,345.0,15.0
COVID-19 Emergency Rate Cut,Bentleigh,503.33,490.0,-13.33
COVID-19 Emergency Rate Cut,Berwick,398.33,405.0,6.67
COVID-19 Emergency Rate Cut,Blackburn,437.0,423.75,-13.25
COVID-19 Emergency Rate Cut,Boronia,393.33,396.25,2.92
COVID-19 Emergency Rate Cut,Box Hill,458.33,410.0,-48.33
COVID-19 Emergency Rate Cut,Brighton,683.67,662.0,-21.67
COVID-19 Emergency Rate Cut,Brighton East,741.67,709.5,-32.17
COVID-19 Emergency Rate Cut,Brunswick,480.0,438.75,-41.25
COVID-19 Emergency Rate Cut,Carlton North,590.0,580.0,-10.0
COVID-19 Emergency Rate Cut,Carnegie,438.33,408.75,-29.58
COVID-19 Emergency Rate Cut,Castlemaine,348.33,362.5,14.17
COVID-19 Emergency Rate Cut,Caulfield,483.33,423.75,-59.58
COVID-19 Emergency Rate Cut,Cheltenham,471.67,462.5,-9.17
COVID-19 Emergency Rate Cut,Clayton,426.67,405.0,-21.67
COVID-19 Emergency Rate Cut,Corio,300.0,306.25,6.25
COVID-19 Emergency Rate Cut,Craigieburn,390.0,390.0,0.0
COVID-19 Emergency Rate Cut,Cranbourne,389.33,397.5,8.17
COVID-19 Emergency Rate Cut,Dandenong,350.0,350.0,0.0
COVID-19 Emergency Rate Cut,East Melbourne,550.0,462.5,-87.5
COVID-19 Emergency Rate Cut,Echuca,336.0,355.75,19.75
COVID-19 Emergency Rate Cut,Elsternwick,448.33,445.5,-2.83
COVID-19 Emergency Rate Cut,Elwood,450.0,426.25,-23.75
COVID-19 Emergency Rate Cut,Essendon,415.0,402.25,-12.75
COVID-19 Emergency Rate Cut,Ferntree Gully,416.67,420.0,3.33
COVID-19 Emergency Rate Cut,Fitzroy,570.0,540.0,-30.0
COVID-19 Emergency Rate Cut,Footscray,396.67,370.0,-26.67
COVID-19 Emergency Rate Cut,Frankston,370.0,380.0,10.0
COVID-19 Emergency Rate Cut,Hamilton,270.0,281.25,11.25
COVID-19 Emergency Rate Cut,Hawthorn,435.0,396.25,-38.75
COVID-19 Emergency Rate Cut,Horsham,278.33,297.5,19.17
COVID-19 Emergency Rate Cut,Keilor,413.33,416.25,2.92
COVID-19 Emergency Rate Cut,Kew,521.67,487.5,-34.17
COVID-19 Emergency Rate Cut,Lara,400.0,412.5,12.5
COVID-19 Emergency Rate Cut,Malvern,475.0,455.0,-20.0
COVID-19 Emergency Rate Cut,Malvern East,475.0,425.0,-50.0
COVID-19 Emergency Rate Cut,Melton,345.0,350.0,5.0
COVID-19 Emergency Rate Cut,Mildura,310.0,327.5,17.5
COVID-19 Emergency Rate Cut,Morwell,228.33,242.5,14.17
COVID-19 Emergency Rate Cut,Mount Waverley,510.0,497.0,-13.0
COVID-19 Emergency Rate Cut,Noble Park,360.0,360.0,0.0
COVID-19 Emergency Rate Cut,North Bendigo,315.0,338.75,23.75
COVID-19 Emergency Rate Cut,North Geelong,353.33,369.5,16.17
