Suburb,Quarter,QuarterDate,WeeklyRent
Altona,Mar 2020,2020-03-01,400
Altona,Jun 2020,2020-06-01,400
Altona,Sep 2020,2020-09-01,400
Altona,Dec 2020,2020-12-01,400
Altona,Mar 2021,2021-03-01,400
Altona,Jun 2021,2021-06-01,400
Altona,Sep 2021,2021-09-01,400
Altona,Dec 2021,2021-12-01,400
Altona,Mar 2022,2022-03-01,400
Altona,Jun 2022,2022-06-01,400
Altona,Sep 2022,2022-09-01,415
Altona,Dec 2022,2022-12-01,420
Altona,Mar 2023,2023-03-01,430
Altona,Jun 2023,2023-06-01,450
Altona,Sep 2023,2023-09-01,470
Altona,Dec 2023,2023-12-01,490
Altona,Mar 2024,2024-03-01,510
Altona,Jun 2024,2024-06-01,530
Altona,Sep 2024,2024-09-01,550
Altona,Dec 2024,2024-12-01,550
Altona,Mar 2025,2025-03-01,550
Altona,Jun 2025,2025-06-01,550
Armadale,Mar 2020,2020-03-01,500
Armadale,Jun 2020,2020-06-01,500
Armadale,Sep 2020,2020-09-01,500
Armadale,Dec 2020,2020-12-01,495
Armadale,Mar 2021,2021-03-01,450
Armadale,Jun 2021,2021-06-01,440
Armadale,Sep 2021,2021-09-01,425
Armadale,Dec 2021,2021-12-01,420
Armadale,Mar 2022,2022-03-01,430
Armadale,Jun 2022,2022-06-01,450
Armadale,Sep 2022,2022-09-01,450
Armadale,Dec 2022,2022-12-01,460
Armadale,Mar 2023,2023-03-01,490
Armadale,Jun 2023,2023-06-01,500
Armadale,Sep 2023,2023-09-01,525
Armadale,Dec 2023,2023-12-01,560
Armadale,Mar 2024,2024-03-01,560
Armadale,Jun 2024,2024-06-01,583
Armadale,Sep 2024,2024-09-01,600
Armadale,Dec 2024,2024-12-01,600
Armadale,Mar 2025,2025-03-01,625
Armadale,Jun 2025,2025-06-01,620
Bairnsdale,Mar 2020,2020-03-01,310
Bairnsdale,Jun 2020,2020-06-01,300
Bairnsdale,Sep 2020,2020-09-01,300
Bairnsdale,Dec 2020,2020-12-01,310
Bairnsdale,Mar 2021,2021-03-01,320
Bairnsdale,Jun 2021,2021-06-01,330
Bairnsdale,Sep 2021,2021-09-01,340
Bairnsdale,Dec 2021,2021-12-01,350
Bairnsdale,Mar 2022,2022-03-01,360
Bairnsdale,Jun 2022,2022-06-01,370
Bairnsdale,Sep 2022,2022-09-01,380
Bairnsdale,Dec 2022,2022-12-01,400
Bairnsdale,Mar 2023,2023-03-01,400
Bairnsdale,Jun 2023,2023-06-01,410
Bairnsdale,Sep 2023,2023-09-01,410
Bairnsdale,Dec 2023,2023-12-01,420
Bairnsdale,Mar 2024,2024-03-01,420
Bairnsdale,Jun 2024,2024-06-01,425
Bairnsdale,Sep 2024,2024-09-01,430
Bairnsdale,Dec 2024,2024-12-01,450
Bairnsdale,Mar 2025,2025-03-01,450
Bairnsdale,Jun 2025,2025-06-01,460
Balwyn,Mar 2020,2020-03-01,550
Balwyn,Jun 2020,2020-06-01,550
Balwyn,Sep 2020,2020-09-01,560
Balwyn,Dec 2020,2020-12-01,550
Balwyn,Mar 2021,2021-03-01,540
Balwyn,Jun 2021,2021-06-01,520
Balwyn,Sep 2021,2021-09-01,520
Balwyn,Dec 2021,2021-12-01,530
Balwyn,Mar 2022,2022-03-01,530
Balwyn,Jun 2022,2022-06-01,550
Balwyn,Sep 2022,2022-09-01,550
Balwyn,Dec 2022,2022-12-01,550
Balwyn,Mar 2023,2023-03-01,575
Balwyn,Jun 2023,2023-06-01,610
Balwyn,Sep 2023,2023-09-01,635
Balwyn,Dec 2023,2023-12-01,650
Balwyn,Mar 2024,2024-03-01,680
Balwyn,Jun 2024,2024-06-01,680
Balwyn,Sep 2024,2024-09-01,700
Balwyn,Dec 2024,2024-12-01,700
Balwyn,Mar 2025,2025-03-01,700
Balwyn,Jun 2025,2025-06-01,720
Bayswater,Mar 2020,2020-03-01,390
Bayswater,Jun 2020,2020-06-01,390
Bayswater,Sep 2020,2020-09-01,390
Bayswater,Dec 2020,2020-12-01,390
Bayswater,Mar 2021,2021-03-01,390
Bayswater,Jun 2021,2021-06-01,400
Bayswater,Sep 2021,2021-09-01,400
Bayswater,Dec 2021,2021-12-01,410
Bayswater,Mar 2022,2022-03-01,410
Bayswater,Jun 2022,2022-06-01,420
Bayswater,Sep 2022,2022-09-01,420
Bayswater,Dec 2022,2022-12-01,425
Bayswater,Mar 2023,2023-03-01,440
Bayswater,Jun 2023,2023-06-01,450
Bayswater,Sep 2023,2023-09-01,470
Bayswater,Dec 2023,2023-12-01,485
Bayswater,Mar 2024,2024-03-01,495
Bayswater,Jun 2024,2024-06-01,500
Bayswater,Sep 2024,2024-09-01,520
Bayswater,Dec 2024,2024-12-01,550
Bayswater,Mar 2025,2025-03-01,550
Bayswater,Jun 2025,2025-06-01,550
Benalla,Mar 2020,2020-03-01,300
Benalla,Jun 2020,2020-06-01,300
Benalla,Sep 2020,2020-09-01,300
Benalla,Dec 2020,2020-12-01,310
Benalla,Mar 2021,2021-03-01,320
Benalla,Jun 2021,2021-06-01,330
Benalla,Sep 2021,2021-09-01,350
Benalla,Dec 2021,2021-12-01,350
Benalla,Mar 2022,2022-03-01,360
Benalla,Jun 2022,2022-06-01,370
Benalla,Sep 2022,2022-09-01,380
Benalla,Dec 2022,2022-12-01,390
Benalla,Mar 2023,2023-03-01,393
Benalla,Jun 2023,2023-06-01,395
Benalla,Sep 2023,2023-09-01,400
Benalla,Dec 2023,2023-12-01,400
Benalla,Mar 2024,2024-03-01,400
Benalla,Jun 2024,2024-06-01,400
Benalla,Sep 2024,2024-09-01,420
Benalla,Dec 2024,2024-12-01,425
Benalla,Mar 2025,2025-03-01,440
Benalla,Jun 2025,2025-06-01,443
Bendigo,Mar 2020,2020-03-01,320
Bendigo,Jun 2020,2020-06-01,330
Bendigo,Sep 2020,2020-09-01,340
Bendigo,Dec 2020,2020-12-01,340
Bendigo,Mar 2021,2021-03-01,340
Bendigo,Jun 2021,2021-06-01,350
Bendigo,Sep 2021,2021-09-01,350
Bendigo,Dec 2021,2021-12-01,360
Bendigo,Mar 2022,2022-03-01,370
Bendigo,Jun 2022,2022-06-01,375
Bendigo,Sep 2022,2022-09-01,380
Bendigo,Dec 2022,2022-12-01,380
Bendigo,Mar 2023,2023-03-01,383
Bendigo,Jun 2023,2023-06-01,395
Bendigo,Sep 2023,2023-09-01,400
Bendigo,Dec 2023,2023-12-01,410
Bendigo,Mar 2024,2024-03-01,420
Bendigo,Jun 2024,2024-06-01,420
Bendigo,Sep 2024,2024-09-01,440
Bendigo,Dec 2024,2024-12-01,450
Bendigo,Mar 2025,2025-03-01,450
Bendigo,Jun 2025,2025-06-01,460
Bentleigh,Mar 2020,2020-03-01,510
Bentleigh,Jun 2020,2020-06-01,500
Bentleigh,Sep 2020,2020-09-01,500
Bentleigh,Dec 2020,2020-12-01,495
Bentleigh,Mar 2021,2021-03-01,490
Bentleigh,Jun 2021,2021-06-01,485
Bentleigh,Sep 2021,2021-09-01,490
Bentleigh,Dec 2021,2021-12-01,495
Bentleigh,Mar 2022,2022-03-01,495
Bentleigh,Jun 2022,2022-06-01,500
Bentleigh,Sep 2022,2022-09-01,501
Bentleigh,Dec 2022,2022-12-01,523
Bentleigh,Mar 2023,2023-03-01,550
Bentleigh,Jun 2023,2023-06-01,560
Bentleigh,Sep 2023,2023-09-01,590
Bentleigh,Dec 2023,2023-12-01,600
Bentleigh,Mar 2024,2024-03-01,635
Bentleigh,Jun 2024,2024-06-01,650
Bentleigh,Sep 2024,2024-09-01,650
Bentleigh,Dec 2024,2024-12-01,675
Bentleigh,Mar 2025,2025-03-01,680
Bentleigh,Jun 2025,2025-06-01,680
Berwick,Mar 2020,2020-03-01,395
Berwick,Jun 2020,2020-06-01,400
Berwick,Sep 2020,2020-09-01,400
Berwick,Dec 2020,2020-12-01,400
Berwick,Mar 2021,2021-03-01,400
Berwick,Jun 2021,2021-06-01,410
Berwick,Sep 2021,2021-09-01,410
Berwick,Dec 2021,2021-12-01,420
Berwick,Mar 2022,2022-03-01,430
Berwick,Jun 2022,2022-06-01,440
Berwick,Sep 2022,2022-09-01,450
Berwick,Dec 2022,2022-12-01,460
Berwick,Mar 2023,2023-03-01,470
Berwick,Jun 2023,2023-06-01,485
Berwick,Sep 2023,2023-09-01,500
Berwick,Dec 2023,2023-12-01,520
Berwick,Mar 2024,2024-03-01,535
Berwick,Jun 2024,2024-06-01,550
Berwick,Sep 2024,2024-09-01,570
Berwick,Dec 2024,2024-12-01,580
Berwick,Mar 2025,2025-03-01,595
Berwick,Jun 2025,2025-06-01,600
Blackburn,Mar 2020,2020-03-01,440
Blackburn,Jun 2020,2020-06-01,440
Blackburn,Sep 2020,2020-09-01,431
Blackburn,Dec 2020,2020-12-01,430
Blackburn,Mar 2021,2021-03-01,425
Blackburn,Jun 2021,2021-06-01,420
Blackburn,Sep 2021,2021-09-01,420
Blackburn,Dec 2021,2021-12-01,430
Blackburn,Mar 2022,2022-03-01,435
Blackburn,Jun 2022,2022-06-01,440
Blackburn,Sep 2022,2022-09-01,450
Blackburn,Dec 2022,2022-12-01,450
Blackburn,Mar 2023,2023-03-01,460
Blackburn,Jun 2023,2023-06-01,480
Blackburn,Sep 2023,2023-09-01,500
Blackburn,Dec 2023,2023-12-01,520
Blackburn,Mar 2024,2024-03-01,550
Blackburn,Jun 2024,2024-06-01,560
Blackburn,Sep 2024,2024-09-01,580
Blackburn,Dec 2024,2024-12-01,598
Blackburn,Mar 2025,2025-03-01,600
Blackburn,Jun 2025,2025-06-01,600
Boronia,Mar 2020,2020-03-01,390
Boronia,Jun 2020,2020-06-01,395
Boronia,Sep 2020,2020-09-01,395
Boronia,Dec 2020,2020-12-01,395
Boronia,Mar 2021,2021-03-01,395
Boronia,Jun 2021,2021-06-01,395
Boronia,Sep 2021,2021-09-01,400
Boronia,Dec 2021,2021-12-01,400
Boronia,Mar 2022,2022-03-01,405
Boronia,Jun 2022,2022-06-01,415
Boronia,Sep 2022,2022-09-01,420
Boronia,Dec 2022,2022-12-01,430
Boronia,Mar 2023,2023-03-01,450
Boronia,Jun 2023,2023-06-01,450
Boronia,Sep 2023,2023-09-01,460
Boronia,Dec 2023,2023-12-01,480
Boronia,Mar 2024,2024-03-01,493
Boronia,Jun 2024,2024-06-01,510
Boronia,Sep 2024,2024-09-01,530
Boronia,Dec 2024,2024-12-01,550
Boronia,Mar 2025,2025-03-01,550
Boronia,Jun 2025,2025-06-01,560
Box Hill,Mar 2020,2020-03-01,465
Box Hill,Jun 2020,2020-06-01,460
Box Hill,Sep 2020,2020-09-01,450
Box Hill,Dec 2020,2020-12-01,430
