Quarter,QuarterDate,Year,QuarterNum,QuarterIndex
Mar 2020,2020-03-01,2020,1,1
Jun 2020,2020-06-01,2020,2,2
Sep 2020,2020-09-01,2020,3,3
Dec 2020,2020-12-01,2020,4,4
Mar 2021,2021-03-01,2021,1,5
Jun 2021,2021-06-01,2021,2,6
Sep 2021,2021-09-01,2021,3,7
Dec 2021,2021-12-01,2021,4,8
Mar 2022,2022-03-01,2022,1,9
Jun 2022,2022-06-01,2022,2,10
Sep 2022,2022-09-01,2022,3,11
Dec 2022,2022-12-01,2022,4,12
Mar 2023,2023-03-01,2023,1,13
Jun 2023,2023-06-01,2023,2,14
Sep 2023,2023-09-01,2023,3,15
Dec 2023,2023-12-01,2023,4,16
Mar 2024,2024-03-01,2024,1,17
Jun 2024,2024-06-01,2024,2,18
Sep 2024,2024-09-01,2024,3,19
Dec 2024,2024-12-01,2024,4,20
Mar 2025,2025-03-01,2025,1,21
Jun 2025,2025-06-01,2025,2,22
