Suburb,Quarter,QuarterDate,WeeklyRent
Sample Springs,Mar 2020,2020-03-01,350
Sample Springs,Jun 2020,2020-06-01,350
Sample Springs,Sep 2020,2020-09-01,355
Sample Springs,Dec 2020,2020-12-01,360
Sample Springs,Mar 2021,2021-03-01,365
Sample Springs,Jun 2021,2021-06-01,370
Sample Springs,Sep 2021,2021-09-01,375
Sample Springs,Dec 2021,2021-12-01,380
Sample Springs,Mar 2022,2022-03-01,390
Sample Springs,Jun 2022,2022-06-01,400
Sample Springs,Sep 2022,2022-09-01,415
Sample Springs,Dec 2022,2022-12-01,425
Sample Springs,Mar 2023,2023-03-01,435
Sample Springs,Jun 2023,2023-06-01,445
Sample Springs,Sep 2023,2023-09-01,455
Sample Springs,Dec 2023,2023-12-01,460
Sample Springs,Mar 2024,2024-03-01,465
Sample Springs,Jun 2024,2024-06-01,470
Sample Springs,Sep 2024,2024-09-01,475
Sample Springs,Dec 2024,2024-12-01,478
Sample Springs,Mar 2025,2025-03-01,480
Sample Springs,Jun 2025,2025-06-01,480
Placeholder Heights,Mar 2020,2020-03-01,470
Placeholder Heights,Jun 2020,2020-06-01,465
Placeholder Heights,Sep 2020,2020-09-01,455
Placeholder Heights,Dec 2020,2020-12-01,445
Placeholder Heights,Mar 2021,2021-03-01,440
Placeholder Heights,Jun 2021,2021-06-01,438
Placeholder Heights,Sep 2021,2021-09-01,440
Placeholder Heights,Dec 2021,2021-12-01,445
Placeholder Heights,Mar 2022,2022-03-01,450
Placeholder Heights,Jun 2022,2022-06-01,460
Placeholder Heights,Sep 2022,2022-09-01,475
Placeholder Heights,Dec 2022,2022-12-01,485
Placeholder Heights,Mar 2023,2023-03-01,490
Placeholder Heights,Jun 2023,2023-06-01,495
Placeholder Heights,Sep 2023,2023-09-01,500
Placeholder Heights,Dec 2023,2023-12-01,505
Placeholder Heights,Mar 2024,2024-03-01,508
Placeholder Heights,Jun 2024,2024-06-01,510
Placeholder Heights,Sep 2024,2024-09-01,513
Placeholder Heights,Dec 2024,2024-12-01,516
Placeholder Heights,Mar 2025,2025-03-01,518
Placeholder Heights,Jun 2025,2025-06-01,520
Demo Bay,Mar 2020,2020-03-01,380
Demo Bay,Jun 2020,2020-06-01,378
Demo Bay,Sep 2020,2020-09-01,380
Demo Bay,Dec 2020,2020-12-01,385
Demo Bay,Mar 2021,2021-03-01,390
Demo Bay,Jun 2021,2021-06-01,392
Demo Bay,Sep 2021,2021-09-01,395
Demo Bay,Dec 2021,2021-12-01,398
Demo Bay,Mar 2022,2022-03-01,400
Demo Bay,Jun 2022,2022-06-01,405
Demo Bay,Sep 2022,2022-09-01,412
Demo Bay,Dec 2022,2022-12-01,418
Demo Bay,Mar 2023,2023-03-01,420
Demo Bay,Jun 2023,2023-06-01,422
Demo Bay,Sep 2023,2023-09-01,425
Demo Bay,Dec 2023,2023-12-01,428
Demo Bay,Mar 2024,2024-03-01,430
Demo Bay,Jun 2024,2024-06-01,428
Demo Bay,Sep 2024,2024-09-01,430
Demo Bay,Dec 2024,2024-12-01,430
Demo Bay,Mar 2025,2025-03-01,430
Demo Bay,Jun 2025,2025-06-01,430
